Name,Position,Age,Team_from,League_from,Team_to,League_to,Season,Market_value,Transfer_fee
Walter Samuel,Centre-Back,22,Boca Juniors,Argentine Primera Division,AS Roma,Serie A,2000-2001,NA,20800000
Willy Sagnol,Right-Back,23,Monaco,Ligue 1,Bayern Munich ,1.Bundesliga,2000-2001,NA,7700000
Yago Yao,Centre-Back,21,Sporting Gijon,La Liga 2,Celta de Vigo,La Liga,2000-2001,NA,1800000
Yoshikatsu Kawaguchi,Goalkeeper,26,Yokohama F. M.,J1 League,Portsmouth,English Championship,2000-2001,NA,2700000
Ze Elias,Central Midfield,23,Bologna,Serie A,Olympiacos,Super League Souroti,2000-2001,NA,5800000
Zlatko Zahovic,Attacking Midfield,29,Olympiacos,Super League Souroti,Valencia CF,La Liga,2000-2001,NA,8000000
Zoran Mirkovic,Right-Back,28,Juventus,Serie A,Fenerbahce,Super Lig,2000-2001,NA,4000000
Abdeslam Ouaddou,Centre-Back,22,AS Nancy,Ligue 2,Fulham,Premier League,2001-2002,NA,3300000
Adekambi Olufade,Right Winger,21,KSC Lokeren,Jupiler Pro League,LOSC Lille,Ligue 1,2001-2002,NA,1800000
Adriano,Centre-Forward,19,Flamengo,Campeonato Brasileiro Serie A,Inter,Serie A,2001-2002,NA,13190000
Agustin Delgado,Centre-Forward,27,Necaxa,Liga MX,Southampton,Premier League,2001-2002,NA,5750000
Ahmed Hassan,Attacking Midfield,26,Denizlispor,Super Lig,Genclerbirligi,Super Lig,2001-2002,NA,3000000
Alberto Fontana,Goalkeeper,34,SSC Napoli,Serie B,Inter,Serie A,2001-2002,NA,3000000
Alberto Gilardino,Centre-Forward,19,Piacenza,Serie A,Hellas Verona,Serie A,2001-2002,NA,3870000
Alex,Attacking Midfield,23,Cruzeiro,Campeonato Brasileiro Serie A,Parma,Serie A,2001-2002,NA,8000000
Alex,Attacking Midfield,24,Parma,Serie A,Cruzeiro,Campeonato Brasileiro Serie A,2001-2002,NA,6000000
Ali Karimi,Attacking Midfield,22,Persepolis,Persian Gulf Pro League,Al-Ahli (UAE),UAE Pro-League,2001-2002,NA,2500000
Andrea Pirlo,Defensive Midfield,22,Inter,Serie A,AC Milan,Serie A,2001-2002,NA,18000000
Andres Fleurqi≠n,Defensive Midfield,26,Sturm Graz,Austrian Bundesliga,Galatasaray,Super Lig,2001-2002,NA,2000000
Andy Cole,Centre-Forward,30,Man Utd,Premier League,Blackburn,Premier League,2001-2002,NA,12200000
Anibal Matellan,Centre-Back,24,Boca Juniors,Argentine Primera Division,FC Schalke 04,1.Bundesliga,2001-2002,NA,4800000
Antonio Cassano,Second Striker,18,Bari,Serie B,AS Roma,Serie A,2001-2002,NA,28500000
Antonio Guayre,Right Winger,21,UD Las Palmas,La Liga,Villarreal CF,La Liga,2001-2002,NA,6000000
Bart Goor,Left Midfield,28,RSC Anderlecht,Jupiler Pro League,Hertha BSC,1.Bundesliga,2001-2002,NA,6250000
Bernardo Romeo,Centre-Forward,24,San Lorenzo,Argentine Primera Division,Hamburger SV,1.Bundesliga,2001-2002,NA,5620000
Bosko Balaban,Centre-Forward,22,Dinamo Zagreb,1.HNL,Aston Villa,Premier League,2001-2002,NA,7800000
Boudewijn Zenden,Left Winger,24,FC Barcelona,La Liga,Chelsea,Premier League,2001-2002,NA,8000000
Brahim Hemdani,Defensive Midfield,23,R. Strasbourg,Ligue 2,Marseille,Ligue 1,2001-2002,NA,4000000
Brett Ormerod,Centre-Forward,25,Blackpool,English League One,Southampton,Premier League,2001-2002,NA,2650000
Bruno Basto,Left-Back,23,Benfica,Liga NOS ,G. Bordeaux,Ligue 1,2001-2002,NA,2280000
Camel Meriem,Attacking Midfield,22,FC Sochaux,Ligue 1,G. Bordeaux,Ligue 1,2001-2002,NA,7000000
Cesar,Left Midfield,26,Sao Caetano,Campeonato Brasileiro Serie A,Lazio,Serie A,2001-2002,NA,5000000
Chris Kirkland,Goalkeeper,20,Coventry City,English Championship,Liverpool,Premier League,2001-2002,NA,8200000
Christian Gimenez,Centre-Forward,26,FC Lugano,Swiss Super League,FC Basel,Swiss Super League,2001-2002,NA,3000000
Christian Karembeu,Defensive Midfield,30,Middlesbrough,Premier League,Olympiacos,Super League Souroti,2001-2002,NA,3000000
Christian Negouai,Defensive Midfield,23,RSC Charleroi,Jupiler Pro League,Man City,English Championship,2001-2002,NA,2250000
Christian Nerlinger,Defensive Midfield,28,Bor. Dortmund,1.Bundesliga,Rangers,Scottish Football League,2001-2002,NA,3000000
Christian Panucci,Right-Back,28,Inter,Serie A,AS Roma,Serie A,2001-2002,NA,5000000
Christian Ziege,Left Midfield,29,Liverpool,Premier League,Spurs,Premier League,2001-2002,NA,6500000
Claudio Pizarro,Centre-Forward,22,Werder Bremen,1.Bundesliga,Bayern Munich ,1.Bundesliga,2001-2002,NA,8200000
Claudio Reyna,Central Midfield,28,Rangers,Scottish Football League,Sunderland,Premier League,2001-2002,NA,6700000
Claudio Taffarel,Goalkeeper,35,Galatasaray,Super Lig,Parma,Serie A,2001-2002,NA,2000000
Colin Cameron,Central Midfield,28,Heart of Midl.,Scottish Football League,Wolves,English Championship,2001-2002,NA,2650000
Corrado Grabbi,Centre-Forward,25,Ternana,Serie B,Blackburn,Premier League,2001-2002,NA,10700000
Cosmin Contra,Right-Back,25,Alaves,La Liga,AC Milan,Serie A,2001-2002,NA,7000000
Craig Bellamy,Left Winger,21,Coventry City,English Championship,Newcastle,Premier League,2001-2002,NA,9000000
Cristian Zenoni,Right-Back,24,AC Milan,Serie A,Juventus,Serie A,2001-2002,NA,15500000
Cristiano Zanetti,Defensive Midfield,24,AS Roma,Serie A,Inter,Serie A,2001-2002,NA,11000000
Daniel Andersson,Centre-Back,23,Bari,Serie B,Venezia,Serie A,2001-2002,NA,2500000
Daniel Rossi,Defensive Midfield,20,Sao Paulo,Campeonato Brasileiro Serie A,Kawasaki Front.,J2 League,2001-2002,NA,2500000
Daniel Van Buyten,Centre-Back,23,Standard Liege,Jupiler Pro League,Marseille,Ligue 1,2001-2002,NA,11500000
Danny Dichio,Centre-Forward,26,Sunderland,Premier League,West Brom,English Championship,2001-2002,NA,2240000
Darko Kovacevic,Centre-Forward,27,Juventus,Serie A,Lazio,Serie A,2001-2002,NA,15000000
Darko Kovacevic,Centre-Forward,28,Lazio,Serie A,Real Sociedad,La Liga,2001-2002,NA,8000000
David James,Goalkeeper,30,Aston Villa,Premier League,West Ham,Premier League,2001-2002,NA,4800000
Dean Richards,Centre-Back,27,Southampton,Premier League,Spurs,Premier League,2001-2002,NA,12150000
Delfim,Central Midfield,24,Sporting CP,Liga NOS ,Marseille,Ligue 1,2001-2002,NA,5000000
Denis Lapaczinski,Defensive Midfield,19,SSV Reutlingen,2.Bundesliga,Hertha BSC,1.Bundesliga,2001-2002,NA,2250000
Dennis Wise,Defensive Midfield,34,Chelsea,Premier League,Leicester,Premier League,2001-2002,NA,2400000
Didier Domi,Left-Back,23,Newcastle,Premier League,Paris SG,Ligue 1,2001-2002,NA,5580000
Diego Forlan,Second Striker,22,Independiente,Argentine Primera Division,Man Utd,Premier League,2001-2002,NA,11000000
Diego Klimowicz,Centre-Forward,27,Lanus,Argentine Primera Division,VfL Wolfsburg,1.Bundesliga,2001-2002,NA,3000000
Don Hutchison,Attacking Midfield,30,Sunderland,Premier League,West Ham,Premier League,2001-2002,NA,7500000
Edu Gaspar,Central Midfield,23,Corinthians,Campeonato Brasileiro Serie A,Arsenal,Premier League,2001-2002,NA,8750000
Eduardo Costa,Defensive Midfield,18,Gremio,Campeonato Brasileiro Serie A,G. Bordeaux,Ligue 1,2001-2002,NA,5000000
Edwin van der Sar,Goalkeeper,30,Juventus,Serie A,Fulham,Premier League,2001-2002,NA,10300000
Edwin Zoetebier,Goalkeeper,31,Vitesse,Eredivisie,Feyenoord,Eredivisie,2001-2002,NA,2250000
Emmanuel Petit,Defensive Midfield,30,FC Barcelona,La Liga,Chelsea,Premier League,2001-2002,NA,11500000
Eric Carriere,Attacking Midfield,28,FC Nantes,Ligue 1,Olympique Lyon,Ligue 1,2001-2002,NA,12000000
Evanilson,Right-Back,25,Bor. Dortmund,1.Bundesliga,Parma,Serie A,2001-2002,NA,17000000
Ewerthon,Centre-Forward,20,Corinthians,Campeonato Brasileiro Serie A,Bor. Dortmund,1.Bundesliga,2001-2002,NA,7100000
Ezequiel Gonzalez,Attacking Midfield,20,CA Rosario,Argentine Primera Division,Fiorentina,Serie A,2001-2002,NA,5000000
Fabio Rochemback,Central Midfield,19,Internacional,Campeonato Brasileiro Serie A,FC Barcelona,La Liga,2001-2002,NA,9000000
Fatih Akyel,Right-Back,23,Galatasaray,Super Lig,RCD Mallorca,La Liga,2001-2002,NA,2500000
Fernando Meira,Centre-Back,23,Benfica,Liga NOS ,VfB Stuttgart,1.Bundesliga,2001-2002,NA,7500000
Filippo Inzaghi,Centre-Forward,27,Juventus,Serie A,AC Milan,Serie A,2001-2002,NA,37000000
Finidi George,Right Winger,30,RCD Mallorca,La Liga,Ipswich,Premier League,2001-2002,NA,4200000
Flavio Roma,Goalkeeper,27,Piacenza,Serie A,Monaco,Ligue 1,2001-2002,NA,8500000
Francesco Toldo,Goalkeeper,29,Fiorentina,Serie A,Inter,Serie A,2001-2002,NA,26500000
Francisco Rojas,Right-Back,26,Colo Colo,Chilean Primera DivisiÛn,Sturm Graz,Austrian Bundesliga,2001-2002,NA,2660000
Francois Grenet,Right-Back,26,G. Bordeaux,Ligue 1,Derby,Premier League,2001-2002,NA,4190000
Frank Lampard,Central Midfield,23,West Ham,Premier League,Chelsea,Premier League,2001-2002,NA,16000000
Frederic Nee,Centre-Forward,26,SC Bastia,Ligue 1,Olympique Lyon,Ligue 1,2001-2002,NA,7500000
Fredrik Berglund,Centre-Forward,22,Elfsborg,Allsvenskan,Roda JC,Eredivisie,2001-2002,NA,2200000
Gabriel Heinze,Centre-Back,23,Real Valladolid,La Liga,Paris SG,Ligue 1,2001-2002,NA,3500000
Gaizka Mendieta,Right Midfield,27,Valencia CF,La Liga,Lazio,Serie A,2001-2002,NA,48000000
Gareth Southgate,Centre-Back,30,Aston Villa,Premier League,Middlesbrough,Premier League,2001-2002,NA,9750000
Geovanni,Attacking Midfield,21,Cruzeiro,Campeonato Brasileiro Serie A,FC Barcelona,La Liga,2001-2002,NA,21000000
Gheorghe Popescu,Centre-Back,33,Galatasaray,Super Lig,Lecce,Serie A,2001-2002,NA,2000000
Gianluigi Buffon,Goalkeeper,23,Parma,Serie A,Juventus,Serie A,2001-2002,NA,52880000
Giovanni van Bronckhorst,Left-Back,26,Rangers,Scottish Football League,Arsenal,Premier League,2001-2002,NA,13500000
Giuliano Giannichedda,Defensive Midfield,26,Udinese Calcio,Serie A,Lazio,Serie A,2001-2002,NA,7500000
Gonzalo Sorondo,Centre-Back,21,Defensor,Uruguayan Primera DivisiÛn,Inter,Serie A,2001-2002,NA,6000000
Goran Bunjevcevic,Centre-Back,28,Red Star,Serbian SuperLiga,Spurs,Premier League,2001-2002,NA,6000000
Goran Drulic,Centre-Forward,24,Red Star,Serbian SuperLiga,Real Zaragoza,La Liga,2001-2002,NA,13000000
Gustavo Poyet,Attacking Midfield,33,Chelsea,Premier League,Spurs,Premier League,2001-2002,NA,3400000
Hakan Unsal,Left-Back,28,Galatasaray,Super Lig,Blackburn,Premier League,2001-2002,NA,3000000
Hidetoshi Nakata,Attacking Midfield,24,AS Roma,Serie A,Parma,Serie A,2001-2002,NA,28400000
Hugo Ibarra,Right-Back,27,Boca Juniors,Argentine Primera Division,FC Porto,Liga NOS,2001-2002,NA,7800000
Hugo Leal,Central Midfield,21,Atletico Madrid,La Liga 2,Paris SG,Ligue 1,2001-2002,NA,9500000
Ian Walker,Goalkeeper,29,Spurs,Premier League,Leicester,Premier League,2001-2002,NA,3750000
Ilhan Mansiz,Centre-Forward,26,Samsunspor,Super Lig,Besiktas,Super Lig,2001-2002,NA,3750000
Ivan Pelizzoli,Goalkeeper,20,Atalanta,Serie A,AS Roma,Serie A,2001-2002,NA,14000000
Jaap Stam,Centre-Back,29,Man Utd,Premier League,Lazio,Serie A,2001-2002,NA,25750000
Jacek Bak,Centre-Back,28,Olympique Lyon,Ligue 1,Lens,Ligue 1,2001-2002,NA,4300000
James Scowcroft,Centre-Forward,25,Ipswich,Premier League,Leicester,Premier League,2001-2002,NA,4500000
Jan Koller,Centre-Forward,28,RSC Anderlecht,Jupiler Pro League,Bor. Dortmund,1.Bundesliga,2001-2002,NA,10500000
Jan Vennegoor of Hesselink,Centre-Forward,22,FC Twente,Eredivisie,PSV Eindhoven,Eredivisie,2001-2002,NA,8400000
Jardel,Centre-Forward,27,Galatasaray,Super Lig,Sporting CP,Liga NOS,2001-2002,NA,4500000
Jason Euell,Second Striker,24,MK Dons,English Championship,Charlton,Premier League,2001-2002,NA,7500000
Jason McAteer,Right Midfield,30,Blackburn,Premier League,Sunderland,Premier League,2001-2002,NA,3000000
Javi Moreno,Centre-Forward,26,Alaves,La Liga,AC Milan,Serie A,2001-2002,NA,16000000
Javier Chevanton,Centre-Forward,20,Danubio FC,Uruguayan Primera DivisiÛn,Lecce,Serie A,2001-2002,NA,7000000
Javier Saviola,Second Striker,19,River Plate,Argentine Primera Division,FC Barcelona,La Liga,2001-2002,NA,35900000
Jermaine Jenas,Central Midfield,18,Nottm Forest,English Championship,Newcastle,Premier League,2001-2002,NA,7500000
Jerome Rothen,Left Midfield,23,Troyes,Ligue 1,Monaco,Ligue 1,2001-2002,NA,4500000
Jerzy Dudek,Goalkeeper,28,Feyenoord,Eredivisie,Liverpool,Premier League,2001-2002,NA,7400000
Jesper Blomqvist,Left Midfield,27,Man Utd,Premier League,Everton,Premier League,2001-2002,NA,7000000
Jihai Sun,Centre-Back,24,DL Shide,Chinese Super League,Man City,English Championship,2001-2002,NA,3260000
Joachim Bjorklund,Centre-Back,30,Venezia,Serie A,Sunderland,Premier League,2001-2002,NA,2230000
Joan Capdevila,Left-Back,23,Atletico Madrid,La Liga 2,Dep. La Coruna,La Liga,2001-2002,NA,6400000
Joao Tomas,Centre-Forward,26,Benfica,Liga NOS ,Real Betis,La Liga,2001-2002,NA,5000000
Joey Gudjonsson,Central Midfield,21,RKC Waalwijk,Eredivisie,Real Betis,La Liga,2001-2002,NA,5630000
Johan Walem,Left Midfield,29,Udinese Calcio,Serie A,Standard Liege,Jupiler Pro League,2001-2002,NA,2000000
John Aloisi,Centre-Forward,25,Coventry City,English Championship,CA Osasuna,La Liga,2001-2002,NA,1800000
John Arne Riise,Left-Back,20,Monaco,Ligue 1,Liverpool,Premier League,2001-2002,NA,6100000
John de Jong,Attacking Midfield,24,FC Utrecht,Eredivisie,PSV Eindhoven,Eredivisie,2001-2002,NA,3800000
John Hartson,Centre-Forward,26,Coventry City,English Championship,Celtic,Scottish Football League,2001-2002,NA,9000000
Jon Harley,Left-Back,21,Chelsea,Premier League,Fulham,Premier League,2001-2002,NA,5250000
Jon Macken,Centre-Forward,24,Preston NE,English Championship,Man City,English Championship,2001-2002,NA,7500000
Jonathan Greening,Central Midfield,22,Man Utd,Premier League,Middlesbrough,Premier League,2001-2002,NA,3000000
Joonas Kolkka,Right Winger,26,PSV Eindhoven,Eredivisie,Panathinaikos,Super League Souroti,2001-2002,NA,2300000
Jorg Albertz,Left Midfield,30,Rangers,Scottish Football League,Hamburger SV,1.Bundesliga,2001-2002,NA,5000000
Jorge Bermudez,Centre-Back,30,Boca Juniors,Argentine Primera Division,Olympiacos,Super League Souroti,2001-2002,NA,3500000
Juan Carlos Valeron,Attacking Midfield,26,Atletico Madrid,La Liga 2,Dep. La Coruna,La Liga,2001-2002,NA,11000000
Juan Sebastian Veron,Central Midfield,26,Lazio,Serie A,Man Utd,Premier League,2001-2002,NA,42600000
Jurgen Cavens,Centre-Forward,22,Lierse SK,Jupiler Pro League,Standard Liege,Jupiler Pro League,2001-2002,NA,2500000
Kenny Miller,Centre-Forward,22,Rangers,Scottish Football League,Wolves,English Championship,2001-2002,NA,4500000
Lamberto Zauli,Attacking Midfield,30,Vicenza,Serie B,Bologna,Serie A,2001-2002,NA,6000000
Laurent Robert,Left Winger,26,Paris SG,Ligue 1,Newcastle,Premier League,2001-2002,NA,14330000
Lee Hughes,Centre-Forward,25,West Brom,English Championship,Coventry City,English Championship,2001-2002,NA,7500000
Lilian Laslandes,Centre-Forward,29,G. Bordeaux,Ligue 1,Sunderland,Premier League,2001-2002,NA,5000000
Lilian Thuram,Centre-Back,29,Parma,Serie A,Juventus,Serie A,2001-2002,NA,41500000
Lincoln,Attacking Midfield,22,Atletico-MG,Campeonato Brasileiro Serie A,1.FC K'lautern,1.Bundesliga,2001-2002,NA,4000000
Luca Toni,Centre-Forward,24,Vicenza,Serie B,Brescia,Serie A,2001-2002,NA,15500000
Lucas Bernardi,Central Midfield,23,Marseille,Ligue 1,Monaco,Ligue 1,2001-2002,NA,9000000
Lucien Mettomo,Centre-Back,24,Saint-Etienne,Ligue 2,Man City,English Championship,2001-2002,NA,2250000
Luigi Sala,Centre-Back,27,AC Milan,Serie A,Atalanta,Serie A,2001-2002,NA,2500000
Luis Boa Morte,Left Midfield,23,Southampton,Premier League,Fulham,Premier League,2001-2002,NA,2300000
Luke Young,Right-Back,21,Spurs,Premier League,Charlton,Premier League,2001-2002,NA,6000000
Mantorras,Centre-Forward,19,Alverca,Liga NOS ,Benfica,Liga NOS,2001-2002,NA,5000000
Marc Wilmots,Attacking Midfield,32,G. Bordeaux,Ligue 1,FC Schalke 04,1.Bundesliga,2001-2002,NA,2000000
Marcelinho Paraiba,Attacking Midfield,26,Gremio,Campeonato Brasileiro Serie A,Hertha BSC,1.Bundesliga,2001-2002,NA,7000000
Marcelo Salas,Centre-Forward,26,Lazio,Serie A,Juventus,Serie A,2001-2002,NA,25000000
Marcio Amoroso,Centre-Forward,27,Parma,Serie A,Bor. Dortmund,1.Bundesliga,2001-2002,NA,25500000
Marco Materazzi,Centre-Back,27,Perugia,Serie A,Inter,Serie A,2001-2002,NA,10500000
Marco Reich,Left Midfield,23,1.FC K'lautern,1.Bundesliga,1. FC Koln,1.Bundesliga,2001-2002,NA,3000000
Marcus Bent,Centre-Forward,23,Blackburn,Premier League,Ipswich,Premier League,2001-2002,NA,4500000
Mario Turdo,Centre-Forward,22,Celta de Vigo,La Liga,Stade Rennais,Ligue 1,2001-2002,NA,10820000
Mario Yepes,Centre-Back,25,River Plate,Argentine Primera Division,FC Nantes,Ligue 1,2001-2002,NA,3800000
Marius Niculae,Centre-Forward,20,Dinamo Bukarest,Liga 1,Sporting CP,Liga NOS,2001-2002,NA,5300000
Mark Draper,Attacking Midfield,30,Aston Villa,Premier League,Southampton,Premier League,2001-2002,NA,2250000
Mark Kennedy,Left-Back,25,Man City,English Championship,Wolves,English Championship,2001-2002,NA,3000000
Mark Wilson,Central Midfield,22,Man Utd,Premier League,Middlesbrough,Premier League,2001-2002,NA,2300000
Markus Weissenberger,Attacking Midfield,26,Arm. Bielefeld,2.Bundesliga,1860 Munich,1.Bundesliga,2001-2002,NA,2250000
Martin Djetou,Centre-Back,26,Monaco,Ligue 1,Parma,Serie A,2001-2002,NA,9750000
Martin Laursen,Centre-Back,23,Hellas Verona,Serie A,Parma,Serie A,2001-2002,NA,9300000
Martin Petrov,Left Winger,22,Servette FC,Swiss Super League,VfL Wolfsburg,1.Bundesliga,2001-2002,NA,3250000
Massimo Donati,Defensive Midfield,20,Atalanta,Serie A,AC Milan,Serie A,2001-2002,NA,15000000
Mate Bilic,Centre-Forward,20,Hajduk Split,1.HNL,Real Zaragoza,La Liga,2001-2002,NA,2250000
Matteo Sereni,Goalkeeper,26,Sampdoria,Serie B,Ipswich,Premier League,2001-2002,NA,6250000
Matthew Jones,Central Midfield,20,Leeds,Premier League,Leicester,Premier League,2001-2002,NA,4500000
Maxwell,Left-Back,19,Cruzeiro,Campeonato Brasileiro Serie A,AFC Ajax,Eredivisie,2001-2002,NA,3500000
Mbo Mpenza,Centre-Forward,25,Galatasaray,Super Lig,Exc. Mouscron,Jupiler Pro League,2001-2002,NA,2000000
Mehdi Mahdavikia,Right Midfield,23,Persepolis,Persian Gulf Pro League,Hamburger SV,1.Bundesliga,2001-2002,NA,2250000
Michael Ball,Left-Back,21,Everton,Premier League,Rangers,Scottish Football League,2001-2002,NA,9750000
Michalis Konstantinou,Centre-Forward,23,Iraklis,Super League Souroti,Panathinaikos,Super League Souroti,2001-2002,NA,15000000
Mido,Centre-Forward,18,KAA Gent,Jupiler Pro League,AFC Ajax,Eredivisie,2001-2002,NA,4200000
Milan Baros,Centre-Forward,20,Banik Ostrava,Czech First League,Liverpool,Premier League,2001-2002,NA,7000000
Miroslav Karhan,Central Midfield,25,Besiktas,Super Lig,VfL Wolfsburg,1.Bundesliga,2001-2002,NA,2750000
Mohamed Kallon,Centre-Forward,21,Vicenza,Serie B,Inter,Serie A,2001-2002,NA,13000000
Mustapha Hadji,Attacking Midfield,29,Coventry City,English Championship,Aston Villa,Premier League,2001-2002,NA,4000000
Nathan Blake,Centre-Forward,29,Blackburn,Premier League,Wolves,English Championship,2001-2002,NA,2250000
Nathan Ellington,Centre-Forward,20,Bristol Rovers,English Third Division,Wigan,English League One,2001-2002,NA,1800000
Nelson Vivas,Right-Back,31,Arsenal,Premier League,Inter,Serie A,2001-2002,NA,7000000
Nenad Jestrovic,Centre-Forward,25,Exc. Mouscron,Jupiler Pro League,RSC Anderlecht,Jupiler Pro League,2001-2002,NA,2000000
Nicolas Medina,Defensive Midfield,19,Argentinos,Argentine Primera Division,Sunderland,Premier League,2001-2002,NA,5250000
Nihat Kahveci,Centre-Forward,22,Besiktas,Super Lig,Real Sociedad,La Liga,2001-2002,NA,5000000
Niko Kovac,Defensive Midfield,29,Hamburger SV,1.Bundesliga,Bayern Munich ,1.Bundesliga,2001-2002,NA,5500000
Nils-Eric Johansson,Left-Back,21,1.FC Nuremberg,1.Bundesliga,Blackburn,Premier League,2001-2002,NA,3000000
Olivier Monterrubio,Left Midfield,24,FC Nantes,Ligue 1,Stade Rennais,Ligue 1,2001-2002,NA,3000000
Olivier Sorlin,Defensive Midfield,22,Montpellier,Ligue 1,Stade Rennais,Ligue 1,2001-2002,NA,3000000
Olof Mellberg,Centre-Back,23,Racing,La Liga 2,Aston Villa,Premier League,2001-2002,NA,6800000
Pablo Contreras,Centre-Back,22,Monaco,Ligue 1,Celta de Vigo,La Liga,2001-2002,NA,4200000
Papa Bouba Diop,Defensive Midfield,23,Grasshoppers,Swiss Super League,Lens,Ligue 1,2001-2002,NA,1800000
Pascal Nouma,Centre-Forward,29,Besiktas,Super Lig,Marseille,Ligue 1,2001-2002,NA,2500000
Patrick M'Boma,Centre-Forward,31,Parma,Serie A,Sunderland,Premier League,2001-2002,NA,4500000
Patrik Andersson,Centre-Back,29,Bayern Munich ,1.Bundesliga,FC Barcelona,La Liga,2001-2002,NA,8000000
Paulo Wanchope,Centre-Forward,24,West Ham,Premier League,Man City,English Championship,2001-2002,NA,5600000
